DATE,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
2020-01-01,5,22,3,17,7,15,13,24,2,9,11,11,21,23,3,123,6,2,1,2,9,18,14,0,4,4,9
2020-01-02,6,19,6,14,7,10,9,23,0,7,9,13,15,26,4,90,7,0,8,1,13,17,7,1,9,4,6
2020-01-03,2,14,4,21,3,8,11,14,1,5,7,8,20,20,5,124,4,2,2,4,17,12,5,1,5,2,3
2020-01-04,3,17,5,18,8,10,13,12,3,4,11,18,23,24,4,92,11,1,2,2,17,12,11,1,4,3,4
2020-01-05,3,21,5,18,7,15,13,22,3,3,9,12,16,24,3,119,8,2,2,7,16,15,9,0,3,2,5
2020-01-06,0,9,1,23,3,13,20,23,5,7,11,11,14,20,5,119,4,4,3,4,18,20,13,1,6,8,9
2020-01-07,2,16,2,14,2,11,10,10,0,3,9,9,9,35,4,105,9,3,1,1,27,16,11,0,2,6,6
2020-01-08,2,18,3,24,4,11,19,22,0,6,9,10,18,23,7,102,11,5,1,4,14,14,10,0,2,3,8
2020-01-09,5,14,3,21,4,13,11,18,1,6,12,11,20,25,3,115,10,5,7,5,16,16,10,0,1,4,7
2020-01-10,2,11,1,24,4,5,14,15,2,6,13,13,14,25,2,93,7,3,0,3,11,21,9,0,6,2,7
2020-01-11,2,20,4,16,10,8,13,26,1,2,12,13,18,26,5,115,3,3,2,5,19,10,7,0,7,3,5
2020-01-12,1,11,6,18,3,10,9,25,0,7,9,17,17,29,1,101,4,5,1,6,17,16,15,0,3,7,11
2020-01-13,4,10,6,20,4,4,18,13,0,5,11,13,19,28,4,93,8,6,3,3,9,16,6,1,2,6,6
2020-01-14,1,13,7,24,10,10,16,13,1,6,6,14,12,24,7,119,5,5,3,2,21,10,9,1,0,6,11
2020-01-15,7,11,0,19,5,12,8,16,1,5,5,14,17,21,6,129,7,1,2,3,10,10,10,0,5,9,6
2020-01-16,3,18,3,18,4,15,6,13,1,7,15,12,22,33,5,114,12,1,1,2,11,10,8,1,6,0,12
2020-01-17,1,21,7,16,6,18,8,24,1,6,13,15,17,19,7,107,6,4,2,1,13,6,8,1,0,2,7
2020-01-18,4,16,2,19,5,15,11,26,0,8,12,6,13,18,11,90,9,2,1,2,14,13,10,0,2,1,7
2020-01-19,5,13,1,18,4,13,13,14,2,5,5,14,10,26,6,104,3,3,3,4,16,4,5,0,5,5,6
2020-01-20,5,12,3,23,9,13,6,21,2,4,10,16,17,22,4,120,7,1,3,3,13,13,5,0,6,5,11
2020-01-21,0,20,2,18,6,17,12,14,0,1,6,16,12,21,6,113,4,0,3,3,9,13,7,0,3,4,5
